aniso_fs	aniso_fsc	dldir_fs	dliso_fs	dlsyn_fs	iso_fs	iso_fsc	res_fs	res_fsc	synth_fs
1533420.000000	1429234.000000	1156738.000000	1195185.000000	1183687.000000	1528725.000000	1425462.000000	1530269.000000	1426632.000000	1601019.000000
1718964.000000	1607304.000000	1355545.000000	1422991.000000	1370220.000000	1757202.000000	1620196.000000	1690610.000000	1619228.000000	1801726.000000
1410976.000000	1301147.000000	1119571.000000	1143373.000000	1110821.000000	1441988.000000	1319057.000000	1415881.000000	1315053.000000	1456856.000000
1364366.000000	1259558.000000	1021077.000000	1052758.000000	1040060.000000	1368498.000000	1262021.000000	1371639.000000	1262502.000000	1427087.000000
1280724.000000	1188133.000000	1014933.000000	1046183.000000	1005850.000000	1287232.000000	1178665.000000	1287154.000000	1191388.000000	1325172.000000
1543251.000000	1456456.000000	1210158.000000	1269006.000000	1208520.000000	1596346.000000	1461321.000000	1546120.000000	1454157.000000	1605406.000000
1351024.000000	1248637.000000	1011159.000000	1060235.000000	1045379.000000	1371581.000000	1260720.000000	1353727.000000	1256370.000000	1391912.000000
1558801.000000	1516264.000000	1211982.000000	1267083.000000	1257759.000000	1623257.000000	1486644.000000	1551160.000000	1511902.000000	1652738.000000
1434645.000000	1344280.000000	1075662.000000	1072032.000000	1098703.000000	1416716.000000	1301729.000000	1439907.000000	1344082.000000	1490201.000000
1351603.000000	1242746.000000	1052978.000000	1089966.000000	1054569.000000	1342630.000000	1235740.000000	1356801.000000	1244957.000000	1406182.000000
1311347.000000	1215641.000000	957061.000000	1000256.000000	994141.000000	1329958.000000	1205345.000000	1313529.000000	1215265.000000	1374602.000000
1539330.000000	1437761.000000	1139258.000000	1163256.000000	1174327.000000	1529473.000000	1403080.000000	1533661.000000	1436513.000000	1586634.000000
1177306.000000	1076753.000000	820527.000000	878401.000000	868047.000000	1196739.000000	1075690.000000	1180168.000000	1076221.000000	1207637.000000
1659769.000000	1556869.000000	1331882.000000	1349905.000000	1321276.000000	1650817.000000	1520276.000000	1671301.000000	1561345.000000	1709820.000000
1608519.000000	1539337.000000	1273221.000000	1291166.000000	1274907.000000	1647218.000000	1522363.000000	1615348.000000	1539709.000000	1686528.000000
1307097.000000	1219503.000000	1002580.000000	1047021.000000	1003464.000000	1326856.000000	1218728.000000	1305949.000000	1222625.000000	1343222.000000
1632528.000000	1532496.000000	1223509.000000	1204758.000000	1244285.000000	1584523.000000	1469900.000000	1631375.000000	1530698.000000	1669355.000000
1359893.000000	1250090.000000	1054083.000000	1117112.000000	1071706.000000	1389244.000000	1265196.000000	1363227.000000	1255989.000000	1426578.000000
1594350.000000	1498688.000000	1235901.000000	1268125.000000	1253994.000000	1620265.000000	1490587.000000	1580900.000000	1504986.000000	1672573.000000
1269658.000000	1176582.000000	966797.000000	999121.000000	970402.000000	1272276.000000	1169129.000000	1271742.000000	1177682.000000	1322431.000000
1419182.000000	1328350.000000	1080117.000000	1123697.000000	1107514.000000	1457473.000000	1333315.000000	1421649.000000	1327403.000000	1478228.000000
1288552.000000	1296864.000000	925143.000000	1023818.000000	1071869.000000	1336801.000000	1264638.000000	1278356.000000	1298432.000000	1422267.000000
1421408.000000	1299436.000000	1105665.000000	1166339.000000	1102284.000000	1445897.000000	1327258.000000	1411034.000000	1305874.000000	1456676.000000
1411868.000000	1284318.000000	1104097.000000	1142762.000000	1109990.000000	1424809.000000	1299105.000000	1422114.000000	1290907.000000	1442945.000000
1566282.000000	1467662.000000	1170461.000000	1158147.000000	1216091.000000	1567041.000000	1418897.000000	1570665.000000	1475920.000000	1639244.000000
1639684.000000	1587191.000000	1361884.000000	1438405.000000	1349150.000000	1706346.000000	1598854.000000	1623334.000000	1594180.000000	1727181.000000
1419575.000000	1326628.000000	1134361.000000	1188120.000000	1110892.000000	1447954.000000	1342131.000000	1419370.000000	1330819.000000	1468239.000000
1288703.000000	1197609.000000	1023204.000000	1078843.000000	1019947.000000	1323830.000000	1217982.000000	1288107.000000	1203104.000000	1324819.000000
